dataset,domain,n,score_definition,Q_mean,conflict_P75_P25,conflict_P90_P10
A1,arxiv,1419,five_group_equal,0.7323392322933862,0.5496828752642706,0.14023960535588442
A1,arxiv,1419,all_22_indicator_equal,0.6220163524824943,0.9541930937279774,0.5405214940098662
A1,book,171,five_group_equal,0.5810709891538335,0.45614035087719296,0.08771929824561403
A1,book,171,all_22_indicator_equal,0.5653861125486732,0.9415204678362573,0.5380116959064327
A1,c4,10000,five_group_equal,0.5235982419753048,0.3415,0.0696
A1,c4,10000,all_22_indicator_equal,0.589794777213495,0.8588,0.3494
A1,commoncrawl,9640,five_group_equal,0.5661415071862087,0.3440871369294606,0.0671161825726141
A1,commoncrawl,9640,all_22_indicator_equal,0.5664832787225967,0.858402489626556,0.41151452282157674
A1,github,10000,five_group_equal,0.40574845551540956,0.4861,0.1122
A1,github,10000,all_22_indicator_equal,0.4156037153222325,0.9345,0.4419
A1,stackexchange,10000,five_group_equal,0.5425290965983053,0.4646,0.1079
A1,stackexchange,10000,all_22_indicator_equal,0.48979140530574294,0.9267,0.4819
A1,wikipedia,10000,five_group_equal,0.4389126603964221,0.3366,0.0515
A1,wikipedia,10000,all_22_indicator_equal,0.4457668822319849,0.9035,0.4545
