dataset,domain,group_a,group_b,count,pair_rate_all,share_of_conflict_pairs,upper_quantile,lower_quantile
A1,arxiv,edu,read,64,0.04510218463706836,0.036488027366020526,0.75,0.25
A1,arxiv,edu,reason,300,0.21141649048625794,0.17103762827822122,0.75,0.25
A1,arxiv,edu,clean,114,0.080338266384778,0.06499429874572406,0.75,0.25
A1,arxiv,edu,struct,185,0.1303735024665257,0.10547320410490307,0.75,0.25
A1,arxiv,read,reason,204,0.14376321353065538,0.11630558722919042,0.75,0.25
A1,arxiv,read,clean,149,0.10500352360817478,0.08494868871151653,0.75,0.25
A1,arxiv,read,struct,146,0.10288935870331219,0.08323831242873432,0.75,0.25
A1,arxiv,reason,clean,278,0.1959126145172657,0.15849486887115166,0.75,0.25
A1,arxiv,reason,struct,191,0.1346018322762509,0.1088939566704675,0.75,0.25
A1,arxiv,clean,struct,123,0.08668076109936575,0.0701254275940707,0.75,0.25
A1,book,edu,read,13,0.07602339181286549,0.0783132530120482,0.75,0.25
A1,book,edu,reason,11,0.06432748538011696,0.06626506024096386,0.75,0.25
A1,book,edu,clean,21,0.12280701754385964,0.12650602409638553,0.75,0.25
A1,book,edu,struct,28,0.16374269005847952,0.1686746987951807,0.75,0.25
A1,book,read,reason,4,0.023391812865497075,0.024096385542168676,0.75,0.25
A1,book,read,clean,12,0.07017543859649122,0.07228915662650602,0.75,0.25
A1,book,read,struct,23,0.13450292397660818,0.13855421686746988,0.75,0.25
A1,book,reason,clean,11,0.06432748538011696,0.06626506024096386,0.75,0.25
A1,book,reason,struct,25,0.14619883040935672,0.15060240963855423,0.75,0.25
A1,book,clean,struct,18,0.10526315789473684,0.10843373493975904,0.75,0.25
A1,c4,edu,read,567,0.0567,0.07237681899412816,0.75,0.25
A1,c4,edu,reason,116,0.0116,0.014807250446770488,0.75,0.25
A1,c4,edu,clean,943,0.0943,0.12037273423538422,0.75,0.25
A1,c4,edu,struct,1275,0.1275,0.16275210620372735,0.75,0.25
A1,c4,read,reason,754,0.0754,0.09624712790400818,0.75,0.25
A1,c4,read,clean,454,0.0454,0.05795251467960173,0.75,0.25
A1,c4,read,struct,996,0.0996,0.12713811590502935,0.75,0.25
A1,c4,reason,clean,828,0.0828,0.10569313249936176,0.75,0.25
A1,c4,reason,struct,1066,0.1066,0.13607352565739086,0.75,0.25
A1,c4,clean,struct,835,0.0835,0.10658667347459791,0.75,0.25
A1,commoncrawl,edu,read,724,0.07510373443983402,0.0998896247240618,0.75,0.25
A1,commoncrawl,edu,reason,388,0.04024896265560166,0.05353200883002208,0.75,0.25
A1,commoncrawl,edu,clean,1041,0.10798755186721992,0.14362582781456953,0.75,0.25
A1,commoncrawl,edu,struct,1000,0.1037344398340249,0.13796909492273732,0.75,0.25
A1,commoncrawl,read,reason,865,0.08973029045643154,0.11934326710816777,0.75,0.25
A1,commoncrawl,read,clean,594,0.06161825726141079,0.08195364238410596,0.75,0.25
A1,commoncrawl,read,struct,766,0.07946058091286307,0.10568432671081678,0.75,0.25
A1,commoncrawl,reason,clean,668,0.06929460580912863,0.09216335540838852,0.75,0.25
A1,commoncrawl,reason,struct,608,0.06307053941908713,0.08388520971302428,0.75,0.25
A1,commoncrawl,clean,struct,594,0.06161825726141079,0.08195364238410596,0.75,0.25
A1,github,edu,read,700,0.07,0.061441235846572455,0.75,0.25
A1,github,edu,reason,388,0.0388,0.03405599929781445,0.75,0.25
A1,github,edu,clean,1033,0.1033,0.09066970947072764,0.75,0.25
A1,github,edu,struct,1961,0.1961,0.1721232335644694,0.75,0.25
A1,github,read,reason,631,0.0631,0.05538488545598174,0.75,0.25
A1,github,read,clean,1137,0.1137,0.09979812165364697,0.75,0.25
A1,github,read,struct,1619,0.1619,0.14210480119371544,0.75,0.25
A1,github,reason,clean,910,0.091,0.0798736066005442,0.75,0.25
A1,github,reason,struct,1780,0.178,0.1562362854384271,0.75,0.25
A1,github,clean,struct,1234,0.1234,0.10831212147810058,0.75,0.25
A1,stackexchange,edu,read,703,0.0703,0.06636458038327198,0.75,0.25
A1,stackexchange,edu,reason,920,0.092,0.0868498064759747,0.75,0.25
A1,stackexchange,edu,clean,1286,0.1286,0.1214009251392429,0.75,0.25
A1,stackexchange,edu,struct,1596,0.1596,0.15066553384310394,0.75,0.25
A1,stackexchange,read,reason,589,0.0589,0.05560275653733598,0.75,0.25
A1,stackexchange,read,clean,933,0.0933,0.08807703200226565,0.75,0.25
A1,stackexchange,read,struct,1236,0.1236,0.11668082696120079,0.75,0.25
A1,stackexchange,reason,clean,593,0.0593,0.05598036439157934,0.75,0.25
A1,stackexchange,reason,struct,1521,0.1521,0.14358538657604078,0.75,0.25
A1,stackexchange,clean,struct,1216,0.1216,0.11479278768998395,0.75,0.25
A1,wikipedia,edu,read,230,0.023,0.029658284977433915,0.75,0.25
