dataset,domain,group_a,group_b,count,pair_rate_all,share_of_conflict_pairs,upper_quantile,lower_quantile
A1,github,edu,struct,1961,0.1961,0.1721232335644694,0.75,0.25
A1,github,reason,struct,1780,0.178,0.1562362854384271,0.75,0.25
A1,github,read,struct,1619,0.1619,0.14210480119371544,0.75,0.25
A1,stackexchange,edu,struct,1596,0.1596,0.15066553384310394,0.75,0.25
A1,stackexchange,reason,struct,1521,0.1521,0.14358538657604078,0.75,0.25
A1,wikipedia,read,clean,1355,0.1355,0.17472598323662153,0.75,0.25
A1,stackexchange,edu,clean,1286,0.1286,0.1214009251392429,0.75,0.25
A1,c4,edu,struct,1275,0.1275,0.16275210620372735,0.75,0.25
A1,wikipedia,read,struct,1256,0.1256,0.16196002578981303,0.75,0.25
A1,stackexchange,read,struct,1236,0.1236,0.11668082696120079,0.75,0.25
A2_full,arxiv,edu,reason,3511,0.20036523426353936,0.16401177185032934,0.75,0.25
A2_full,arxiv,reason,clean,3274,0.18684015294184786,0.15294062689774374,0.75,0.25
A2_full,arxiv,read,reason,2460,0.14038692004793699,0.11491568178633157,0.75,0.25
A2_full,arxiv,reason,struct,2304,0.1314843348741654,0.10762834586817396,0.75,0.25
A2_full,arxiv,edu,struct,2125,0.12126918906579924,0.09926659503900594,0.75,0.25
A2_full,arxiv,read,clean,1863,0.10631741140215717,0.08702760779184379,0.75,0.25
A2_full,arxiv,read,struct,1855,0.10586086857273298,0.0866538982575793,0.75,0.25
A2_full,arxiv,edu,clean,1525,0.08702847685898533,0.07123837996916896,0.75,0.25
A2_full,arxiv,clean,struct,1521,0.08680020544427323,0.07105152520203671,0.75,0.25
A2_full,arxiv,edu,read,969,0.055298750214004454,0.04526556733778671,0.75,0.25
A2_nonoverlap,arxiv,edu,reason,3207,0.19914307004470938,0.1634973234769309,0.75,0.25
A2_nonoverlap,arxiv,reason,clean,2995,0.1859786388474913,0.1526892684170278,0.75,0.25
A2_nonoverlap,arxiv,read,reason,2256,0.14008941877794337,0.1150140198827428,0.75,0.25
A2_nonoverlap,arxiv,reason,struct,2109,0.1309612518628912,0.1075197552893194,0.75,0.25
A2_nonoverlap,arxiv,edu,struct,1933,0.12003229011425733,0.09854703033392812,0.75,0.25
A2_nonoverlap,arxiv,read,struct,1707,0.10599850968703428,0.08702523578893703,0.75,0.25
A2_nonoverlap,arxiv,read,clean,1705,0.10587431693989072,0.08692327300535305,0.75,0.25
A2_nonoverlap,arxiv,edu,clean,1405,0.08724540486835569,0.07162885546775427,0.75,0.25
A2_nonoverlap,arxiv,clean,struct,1400,0.08693492300049677,0.07137394850879429,0.75,0.25
A2_nonoverlap,arxiv,edu,read,898,0.0557625434674615,0.04578128982921234,0.75,0.25
A3_full,github,edu,struct,38299,0.18796870705563626,0.16772207332667682,0.75,0.25
A3_full,github,reason,struct,36264,0.17798107503239233,0.15881023700667402,0.75,0.25
A3_full,github,read,struct,33256,0.16321802976167105,0.14563736051990822,0.75,0.25
A3_full,github,clean,struct,24433,0.11991538733362127,0.10699896648974372,0.75,0.25
A3_full,github,read,clean,22472,0.11029094192940438,0.09841119694501375,0.75,0.25
A3_full,github,edu,clean,20852,0.10234009972908241,0.09131676213498695,0.75,0.25
A3_full,github,reason,clean,18543,0.09100769562998155,0.0812050028903253,0.75,0.25
A3_full,github,edu,read,13347,0.06550610546154148,0.058450260129276364,0.75,0.25
A3_full,github,read,reason,13168,0.06462758647767874,0.05766636887557588,0.75,0.25
A3_full,github,edu,reason,7714,0.03785975106992815,0.03378177168181898,0.75,0.25
A3_nonoverlap,github,edu,struct,36332,0.18751806432965853,0.1674710179999539,0.75,0.25
A3_nonoverlap,github,reason,struct,34479,0.17795429208472688,0.15892968263845675,0.75,0.25
A3_nonoverlap,github,read,struct,31627,0.16323444403154547,0.1457834935121805,0.75,0.25
A3_nonoverlap,github,clean,struct,23202,0.11975102192493497,0.1069487658162207,0.75,0.25
A3_nonoverlap,github,read,clean,21338,0.11013047607250506,0.09835672635921547,0.75,0.25
A3_nonoverlap,github,edu,clean,19821,0.10230087947479252,0.0913641706423287,0.75,0.25
A3_nonoverlap,github,reason,clean,17627,0.09097712539741526,0.08125100832008113,0.75,0.25
A3_nonoverlap,github,edu,read,12651,0.06529480986002725,0.058314319297517805,0.75,0.25
A3_nonoverlap,github,read,reason,12538,0.06471159007390892,0.057793449952753005,0.75,0.25
A3_nonoverlap,github,edu,reason,7330,0.03783186754201247,0.03378736546129203,0.75,0.25
