dataset,domain,n,upper_quantile,lower_quantile,conflict_n,conflict_rate
A1,arxiv,1419,0.7,0.3,952,0.6708949964763918
A1,arxiv,1419,0.75,0.25,780,0.5496828752642706
A1,arxiv,1419,0.8,0.2,573,0.40380549682875266
A1,arxiv,1419,0.9,0.1,199,0.14023960535588442
A1,book,171,0.7,0.3,96,0.5614035087719298
A1,book,171,0.75,0.25,78,0.45614035087719296
A1,book,171,0.8,0.2,56,0.32748538011695905
A1,book,171,0.9,0.1,15,0.08771929824561403
A1,c4,10000,0.7,0.3,4519,0.4519
A1,c4,10000,0.75,0.25,3415,0.3415
A1,c4,10000,0.8,0.2,2369,0.2369
A1,c4,10000,0.9,0.1,696,0.0696
A1,commoncrawl,9640,0.7,0.3,4406,0.4570539419087137
A1,commoncrawl,9640,0.75,0.25,3317,0.3440871369294606
A1,commoncrawl,9640,0.8,0.2,2273,0.23578838174273858
A1,commoncrawl,9640,0.9,0.1,647,0.0671161825726141
A1,github,10000,0.7,0.3,6087,0.6087
A1,github,10000,0.75,0.25,4861,0.4861
A1,github,10000,0.8,0.2,3552,0.3552
A1,github,10000,0.9,0.1,1122,0.1122
A1,stackexchange,10000,0.7,0.3,5816,0.5816
A1,stackexchange,10000,0.75,0.25,4646,0.4646
A1,stackexchange,10000,0.8,0.2,3408,0.3408
A1,stackexchange,10000,0.9,0.1,1079,0.1079
A1,wikipedia,10000,0.7,0.3,4420,0.442
A1,wikipedia,10000,0.75,0.25,3366,0.3366
A1,wikipedia,10000,0.8,0.2,2351,0.2351
A1,wikipedia,10000,0.9,0.1,515,0.0515
A2_full,arxiv,17523,0.7,0.3,11503,0.6564515208583005
A2_full,arxiv,17523,0.75,0.25,9403,0.5366090281344519
A2_full,arxiv,17523,0.8,0.2,7045,0.4020430291616732
A2_full,arxiv,17523,0.9,0.1,2411,0.13759059521771386
A2_nonoverlap,arxiv,16104,0.7,0.3,10537,0.6543094883258818
A2_nonoverlap,arxiv,16104,0.75,0.25,8624,0.5355191256830601
A2_nonoverlap,arxiv,16104,0.8,0.2,6460,0.4011425732737208
A2_nonoverlap,arxiv,16104,0.9,0.1,2206,0.1369846000993542
A3_full,github,203752,0.7,0.3,122622,0.6018198594369626
A3_full,github,203752,0.75,0.25,97621,0.4791167694059445
A3_full,github,203752,0.8,0.2,71541,0.35111802583532925
A3_full,github,203752,0.9,0.1,23110,0.11342219953669166
A3_nonoverlap,github,193752,0.7,0.3,116524,0.6014079854659565
A3_nonoverlap,github,193752,0.75,0.25,92745,0.4786789297658863
A3_nonoverlap,github,193752,0.8,0.2,67992,0.35092282918369877
A3_nonoverlap,github,193752,0.9,0.1,21997,0.11353173128535447
