domain,n,upper_quantile,lower_quantile,conflict_rate
arxiv,1419,0.7,0.3,0.6708949964763918
arxiv,1419,0.75,0.25,0.5496828752642706
arxiv,1419,0.8,0.2,0.4038054968287526
arxiv,1419,0.9,0.1,0.1402396053558844
book,171,0.7,0.3,0.5614035087719298
book,171,0.75,0.25,0.4561403508771929
book,171,0.8,0.2,0.327485380116959
book,171,0.9,0.1,0.087719298245614
c4,10000,0.7,0.3,0.4519
c4,10000,0.75,0.25,0.3415
c4,10000,0.8,0.2,0.2369
c4,10000,0.9,0.1,0.0696
commoncrawl,9640,0.7,0.3,0.4570539419087137
commoncrawl,9640,0.75,0.25,0.3440871369294606
commoncrawl,9640,0.8,0.2,0.2357883817427385
commoncrawl,9640,0.9,0.1,0.0671161825726141
github,10000,0.7,0.3,0.6087
github,10000,0.75,0.25,0.4861
github,10000,0.8,0.2,0.3552
github,10000,0.9,0.1,0.1122
stackexchange,10000,0.7,0.3,0.5816
stackexchange,10000,0.75,0.25,0.4646
stackexchange,10000,0.8,0.2,0.3408
stackexchange,10000,0.9,0.1,0.1079
wikipedia,10000,0.7,0.3,0.442
wikipedia,10000,0.75,0.25,0.3366
wikipedia,10000,0.8,0.2,0.2351
wikipedia,10000,0.9,0.1,0.0515
