domain,n_shared_recipes,spearman_loss_10b_70b,kendall_tau_loss_10b_70b,pairwise_rank_reversal_fraction,best_recipe_10b,best_recipe_70b,best_recipe_same,loss_10b_range,loss_70b_range,data_status
arxiv,63,0.9916474654377881,0.9385560675883257,0.03072196620583717,45,45,True,1.3129,0.9903,estimated; same 63 recipes; not independent experiments
dm_mathematics,63,0.9964957757296466,0.9621095750128007,0.01894521249359965,35,35,True,1.319,1.0472000000000001,estimated; same 63 recipes; not independent experiments
freelaw,63,0.9906874039938558,0.9344598054275473,0.032770097286226374,32,32,True,1.4674,1.2613,estimated; same 63 recipes; not independent experiments
github,63,0.9829589093701998,0.9047619047619047,0.04761904761904767,51,51,True,1.1332,0.9537,estimated; same 63 recipes; not independent experiments
gutenberg_pg_19,63,0.9917434715821811,0.9344598054275473,0.032770097286226374,29,29,True,0.9009,0.7844000000000001,estimated; same 63 recipes; not independent experiments
hackernews,63,0.98963133640553,0.9272913466461852,0.03635432667690741,47,47,True,0.8299999999999998,0.7613000000000001,estimated; same 63 recipes; not independent experiments
pile_cc,63,0.9949116743471582,0.9569892473118279,0.021505376344086058,32,32,True,0.9339000000000002,0.8674999999999999,estimated; same 63 recipes; not independent experiments
pubmed_abstracts,63,0.9867031490015362,0.9201228878648232,0.03993855606758839,9,9,True,1.0122000000000002,0.8835,estimated; same 63 recipes; not independent experiments
pubmed_central,63,0.9826228878648233,0.8965693804403481,0.05171530977982597,9,9,True,1.1791999999999998,0.9959999999999999,estimated; same 63 recipes; not independent experiments
stackexchange,63,0.9754458392338525,0.8714139344262295,0.06429303278688525,51,51,True,0.7525999999999999,0.6561000000000001,estimated; same 63 recipes; not independent experiments
ubuntu_irc,63,0.9814105872753,0.9075544471713588,0.0462227764143206,47,47,True,1.2755999999999998,1.1095000000000002,estimated; same 63 recipes; not independent experiments
uspto_backgrounds,63,0.9944674468162903,0.9490136104470648,0.02549319477646761,29,29,True,1.0541000000000003,0.9274000000000001,estimated; same 63 recipes; not independent experiments
wikipedia_en,63,0.991431246235226,0.9318648763805901,0.03406756180970494,47,47,True,1.1198000000000001,0.9883,estimated; same 63 recipes; not independent experiments
