loss_domain,model,best_alpha,cv_rmse,r2,rmse,spearman
metric/the_pile_arxiv_val_loss,linear_ridge,10.0,0.5000831392202235,0.7544938793042555,0.38627032065040795,0.9163588635843442
metric/the_pile_arxiv_val_loss,quadratic_interaction_ridge,10.0,0.448937220782023,0.8231438895829771,0.32784624424142744,0.9298530842298006
metric/the_pile_arxiv_val_loss,data_mixing_exponential,0.01,0.4319529110858744,0.8246401150674383,0.32645648788175274,0.9589014934767679
metric/the_pile_freelaw_val_loss,linear_ridge,1.0,0.3078958026918041,0.8316004086487516,0.30243890490309866,0.9183530270084685
metric/the_pile_freelaw_val_loss,quadratic_interaction_ridge,10.0,0.2723985703065165,0.906792353830415,0.22500538418328225,0.9600952735179674
metric/the_pile_freelaw_val_loss,data_mixing_exponential,0.001,0.1950106092387565,0.9298648450100845,0.1951798683601977,0.9790155069810024
metric/the_pile_pubmed_central_val_loss,linear_ridge,1.0,0.39014005552643677,0.8596656070250513,0.3132427921857101,0.9400570782787822
metric/the_pile_pubmed_central_val_loss,quadratic_interaction_ridge,10.0,0.34962997925894956,0.8827265323454541,0.28635113563389203,0.9433294232089722
metric/the_pile_pubmed_central_val_loss,data_mixing_exponential,0.001,0.3308243073939852,0.8996445968390715,0.26489234396783146,0.9535605973907072
metric/the_pile_wikipedia_en_val_loss,linear_ridge,1.0,0.2562189677376345,0.7967531860282683,0.24632022013524169,0.9039661535820552
metric/the_pile_wikipedia_en_val_loss,quadratic_interaction_ridge,10.0,0.19920945717952118,0.9011180398908839,0.1718093220571143,0.959001630807965
metric/the_pile_wikipedia_en_val_loss,data_mixing_exponential,0.0001,0.15735491800788523,0.923840952473461,0.15078180668361893,0.9681584744792857
metric/the_pile_dm_mathematics_val_loss,linear_ridge,1.0,0.6789603192824598,0.8497404145470341,0.5943945383816498,0.9018010414282444
metric/the_pile_dm_mathematics_val_loss,quadratic_interaction_ridge,10.0,0.6350842389790204,0.8623359751816612,0.5689366986902683,0.8898289082169831
metric/the_pile_dm_mathematics_val_loss,data_mixing_exponential,0.01,0.9300005153647197,0.6776379548252851,0.8706140434653984,0.8599729629205766
metric/the_pile_github_val_loss,linear_ridge,1.0,0.5306700740411617,0.7366887229801573,0.47274617003720515,0.8854464694438084
metric/the_pile_github_val_loss,quadratic_interaction_ridge,10.0,0.4288218748903509,0.8610920080956317,0.3433656969558795,0.9364063572899975
metric/the_pile_github_val_loss,data_mixing_exponential,0.01,0.4192731882027849,0.8739214809191822,0.327125077764165,0.9752439059281298
metric/the_pile_stackexchange_val_loss,linear_ridge,1.0,0.4030506751277555,0.6952628854466923,0.36657303516008927,0.8843235008010984
metric/the_pile_stackexchange_val_loss,quadratic_interaction_ridge,10.0,0.31997208059562116,0.8496349484348781,0.2574964782813541,0.9402530613412678
metric/the_pile_stackexchange_val_loss,data_mixing_exponential,0.001,0.29855177907200997,0.858590033261337,0.24971110125969836,0.9776636530098419
metric/the_pile_gutenberg_pg_19_val_loss,linear_ridge,10.0,0.2531224801149794,0.7154725073285737,0.23931589231250194,0.8755149919890134
metric/the_pile_gutenberg_pg_19_val_loss,quadratic_interaction_ridge,10.0,0.19968335509749724,0.8613747701694247,0.16704387696167597,0.941722219043259
metric/the_pile_gutenberg_pg_19_val_loss,data_mixing_exponential,0.01,0.14602795605852298,0.9164092356182333,0.1297145130909473,0.9771035992217898
metric/the_pile_pile_cc_val_loss,linear_ridge,10.0,0.18554257303929997,0.6832557373926251,0.1803752113337732,0.8491659990844587
metric/the_pile_pile_cc_val_loss,quadratic_interaction_ridge,10.0,0.15107309418155243,0.8489745732714784,0.12455108358282325,0.9348020141908902
metric/the_pile_pile_cc_val_loss,data_mixing_exponential,0.01,0.09986115834088465,0.9162866322276995,0.09272991920420276,0.9650012874799725
metric/the_pile_ubuntu_irc_val_loss,linear_ridge,1.0,0.4729451403964372,0.8188162914805613,0.42455700501394394,0.8738391222247652
metric/the_pile_ubuntu_irc_val_loss,quadratic_interaction_ridge,10.0,0.4366153944222412,0.8429740147576003,0.39524119356624493,0.8838743133440145
metric/the_pile_ubuntu_irc_val_loss,data_mixing_exponential,0.01,0.5096317352351806,0.7578664170826594,0.49079932056469106,0.8467240787365528
metric/the_pile_hackernews_val_loss,linear_ridge,1.0,0.20715717029072578,0.6772788818177016,0.19104279157982104,0.8485894941634239
metric/the_pile_hackernews_val_loss,quadratic_interaction_ridge,100.0,0.17756808214461833,0.8004466407565645,0.15022647756144694,0.9140542744335085
metric/the_pile_hackernews_val_loss,data_mixing_exponential,0.01,0.15823398457771762,0.8157076303460521,0.14436790022398208,0.9088042172121766
metric/the_pile_pubmed_abstracts_val_loss,linear_ridge,10.0,0.3610585840418984,0.6932965529225276,0.31584169785863436,0.8699030098420689
metric/the_pile_pubmed_abstracts_val_loss,quadratic_interaction_ridge,10.0,0.2580124787381285,0.8663648263052977,0.20848294265308268,0.9398939974822612
metric/the_pile_pubmed_abstracts_val_loss,data_mixing_exponential,1e-08,0.1673392118169757,0.9446593947118168,0.13416279259862599,0.9910820553902494
metric/the_pile_uspto_backgrounds_val_loss,linear_ridge,1.0,0.24946239002889614,0.820700629343108,0.21598898885667098,0.8994299324788279
metric/the_pile_uspto_backgrounds_val_loss,quadratic_interaction_ridge,10.0,0.20502397646014764,0.9097659259320963,0.15322425267833492,0.9571712634470129
metric/the_pile_uspto_backgrounds_val_loss,data_mixing_exponential,1e-08,0.12029200733655483,0.9558907623628393,0.10712898855470762,0.9782215609979398
