domain,extension,weighting,A1_n,extension_n,A1_Q_mean,extension_Q_mean,difference_extension_minus_A1
arxiv,A2_full,equal,1419,17523,0.7323392322933862,0.7313646741346614,-0.0009745581587247143
arxiv,A2_full,critic,1419,17523,0.763170063248227,0.7617633825293881,-0.0014066807188388708
arxiv,A2_full,entropy,1419,17523,0.7900284456711497,0.7880686123903274,-0.0019598332808222763
arxiv,A2_full,length,1419,17523,0.7303857344067344,0.7296466294814494,-0.0007391049252849502
arxiv,A2_nonoverlap,equal,1419,16104,0.7323392322933862,0.7312788011821509,-0.001060431111235216
arxiv,A2_nonoverlap,critic,1419,16104,0.763170063248227,0.7616394332037528,-0.0015306300444741794
arxiv,A2_nonoverlap,entropy,1419,16104,0.7900284456711497,0.7878959221627139,-0.0021325235084358463
arxiv,A2_nonoverlap,length,1419,16104,0.7303857344067344,0.7295846263525129,-0.000801108054221511
github,A3_full,equal,10000,203752,0.40574845551540956,0.404950095589688,-0.0007983599257215812
github,A3_full,critic,10000,203752,0.4100905120766752,0.4094437897903903,-0.0006467222862848732
github,A3_full,entropy,10000,203752,0.41073962367552797,0.4103257459780716,-0.00041387769745637737
github,A3_full,length,10000,203752,0.46330330404741865,0.46494757889895083,0.0016442748515321792
github,A3_nonoverlap,equal,10000,193752,0.40574845551540956,0.4049088903414468,-0.0008395651739627752
github,A3_nonoverlap,critic,10000,193752,0.4100905120766752,0.4094104109201704,-0.0006801011565047976
github,A3_nonoverlap,entropy,10000,193752,0.41073962367552797,0.4103043847690282,-0.0004352389064997686
github,A3_nonoverlap,length,10000,193752,0.46330330404741865,0.4650322213405836,0.0017289172931649333
