dataset,domain,n,weighting,Q_mean,Q_CI_low,Q_CI_high
A1,arxiv,1419,equal,0.7323392322933862,0.7292930179868273,0.7353209619595378
A1,arxiv,1419,critic,0.763170063248227,0.7598210383525345,0.766349899398635
A1,arxiv,1419,entropy,0.7900284456711497,0.7862104245966874,0.7937669169066386
A1,arxiv,1419,length,0.7303857344067344,0.7266672913657438,0.7345765119101751
A1,book,171,equal,0.5810709891538335,0.5655910594061456,0.5972501235003023
A1,book,171,critic,0.5823312240980184,0.5652032253369044,0.6007421031936173
A1,book,171,entropy,0.5826926385477728,0.5635747612164435,0.6031403500930211
A1,book,171,length,0.5969566131219167,0.5765677862279424,0.617463701769035
A1,c4,10000,equal,0.5235982419753048,0.5206884088416686,0.5265735953175942
A1,c4,10000,critic,0.5023424455960304,0.49913008381962315,0.5056290204625558
A1,c4,10000,entropy,0.48384943911179706,0.4803520690821786,0.48745070024681014
A1,c4,10000,length,0.5851333389965944,0.5794122358417114,0.590880592224966
A1,commoncrawl,9640,equal,0.5661415071862087,0.5637039906944408,0.5686263964593521
A1,commoncrawl,9640,critic,0.562551209000065,0.5599276049828006,0.5651646099809904
A1,commoncrawl,9640,entropy,0.5613093716194548,0.5584042285878194,0.5642480536007343
A1,commoncrawl,9640,length,0.5864839295482023,0.579827957093398,0.5926545334297376
A1,github,10000,equal,0.40574845551540956,0.40388208883473947,0.40763130593060054
A1,github,10000,critic,0.4100905120766752,0.4080140251259975,0.41225214673933036
A1,github,10000,entropy,0.41073962367552797,0.40841656729750303,0.4131760087621901
A1,github,10000,length,0.46330330404741865,0.4563710852305993,0.4696135184628003
A1,stackexchange,10000,equal,0.5425290965983053,0.540868695150078,0.5441996482171597
A1,stackexchange,10000,critic,0.5587858460825759,0.5569622774848775,0.5606690705027236
A1,stackexchange,10000,entropy,0.5714651972021844,0.5693636864056728,0.5735965877938028
A1,stackexchange,10000,length,0.5683305640358239,0.5656945575221017,0.5711349741848221
A1,wikipedia,10000,equal,0.4389126603964221,0.4363569175631425,0.44162125355942
A1,wikipedia,10000,critic,0.436143440369541,0.4333634881758341,0.4391445887705857
A1,wikipedia,10000,entropy,0.4363392446789415,0.43323322764179284,0.4396808747257004
A1,wikipedia,10000,length,0.5521801413299252,0.5455566059493506,0.5589173425460792
A2_full,arxiv,17523,equal,0.7313646741346614,0.7304748934265098,0.7322782010754357
A2_full,arxiv,17523,critic,0.7617633825293881,0.7608211143916619,0.7627489081072275
A2_full,arxiv,17523,entropy,0.7880686123903274,0.7869972072138823,0.7891661942674855
A2_full,arxiv,17523,length,0.7296466294814494,0.7284432018180355,0.730900995835255
A2_nonoverlap,arxiv,16104,equal,0.7312788011821509,0.7303251415125807,0.732245925569429
A2_nonoverlap,arxiv,16104,critic,0.7616394332037528,0.7605744961143107,0.7626729006765063
A2_nonoverlap,arxiv,16104,entropy,0.7878959221627139,0.7867075947825476,0.7890608881279448
A2_nonoverlap,arxiv,16104,length,0.7295846263525129,0.7283071459040947,0.7308486309685146
A3_full,github,203752,equal,0.404950095589688,0.40452490763424476,0.4053786745691839
A3_full,github,203752,critic,0.4094437897903903,0.40895844489193184,0.4099189095387999
A3_full,github,203752,entropy,0.4103257459780716,0.40978078919590566,0.4108636967186866
A3_full,github,203752,length,0.46494757889895083,0.4634900958272077,0.46635670150437314
A3_nonoverlap,github,193752,equal,0.4049088903414468,0.40447124616718705,0.4053324213461272
A3_nonoverlap,github,193752,critic,0.4094104109201704,0.40892186987803064,0.40989399529928966
A3_nonoverlap,github,193752,entropy,0.4103043847690282,0.40975065422416795,0.41085446791060565
A3_nonoverlap,github,193752,length,0.4650322213405836,0.4636646330772355,0.46646299697610255
