dataset,domain,n,pearson_gamma10_gamma70,spearman_gamma10_gamma70,gamma10_gamma70_rmse,gamma10_gamma70_sign_agreement,pearson_gamma10_loss1m,pearson_gamma70_loss1m,pearson_gamma10_loss1m_ci_low,pearson_gamma10_loss1m_ci_high,pearson_gamma70_loss1m_ci_low,pearson_gamma70_loss1m_ci_high,mean_scaling_fit_r2,median_scaling_fit_r2,data_status
estimated,arxiv,63,0.999727361918492,0.9991359447004609,0.0009776260840253037,1.0,0.24384421323159994,0.24109688564022214,0.29078404559493365,0.7097601421620842,0.315271899049149,0.7188246899314872,0.9999481245367442,0.9999592452713091,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,arxiv,256,,,,,0.0716164563570684,,-0.539625831382971,-0.27253574668653874,,,,,observed test recipes; real 1M->60M control
estimated,dm_mathematics,63,0.999726890991515,0.9991359447004609,0.000977214439082081,1.0,0.11226422627864067,0.11301036144931775,0.5528056795892445,0.809763641026509,0.5565543845061002,0.8056951873266236,0.9999481830817015,0.9999592461957137,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,dm_mathematics,256,,,,,-0.052861127155630835,,0.8850976983533014,0.9393813980305254,,,,,observed test recipes; real 1M->60M control
estimated,freelaw,63,0.9997270816103077,0.9991359447004609,0.0009770732775049998,1.0,-0.23520073341457942,-0.2305757869483234,-0.25880749695406763,0.3496621974262203,-0.2724605932256571,0.3389742392927368,0.9999481825721885,0.9999595126963895,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,freelaw,256,,,,,0.005271852749556334,,-0.9390295616019207,-0.9043978629883463,,,,,observed test recipes; real 1M->60M control
estimated,github,63,0.9997273142964895,0.9991359447004609,0.0009779307832220453,1.0,0.22089923226283992,0.21767349940138925,0.3640324552895876,0.7392723008985672,0.36217690778406264,0.7297028089676204,0.9999480955332928,0.999958782770257,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,github,256,,,,,0.08635137518863378,,-0.9171421070629571,-0.8734679747459584,,,,,observed test recipes; real 1M->60M control
estimated,gutenberg_pg_19,63,0.999727880342882,0.9991359447004609,0.0009777086762073266,1.0,-0.23155310576166385,-0.22735996736151906,-0.008158848923930012,0.5196712283645752,-0.03520949335146928,0.4966815841459582,0.9999481143340109,0.9999591960589242,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,gutenberg_pg_19,256,,,,,0.09743984171494238,,-0.4447299498025165,-0.18485900944013786,,,,,observed test recipes; real 1M->60M control
estimated,hackernews,63,0.9997281140126736,0.9991359447004609,0.000977720465813632,1.0,-0.019799826324284155,-0.01767995318954365,0.37798252506379293,0.7272143949058308,0.37230827232905794,0.7346998753314101,0.9999481086063903,0.9999588791356234,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,hackernews,256,,,,,0.02599350488725252,,-0.7141073491103015,-0.5808827424475543,,,,,observed test recipes; real 1M->60M control
estimated,pile_cc,63,0.9997274982042023,0.9991359447004609,0.0009775539699960292,1.0,-0.21554283809341296,-0.21340351648996003,0.06499363708758822,0.5259050360271421,0.022822648275381847,0.5383639632904423,0.9999481510970197,0.9999590027807402,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,pile_cc,256,,,,,-0.005946661987125164,,-0.8654326544981149,-0.7657559045908087,,,,,observed test recipes; real 1M->60M control
estimated,pubmed_abstracts,63,0.999727762974811,0.9991359447004609,0.000977208060391483,1.0,0.02807988000283772,0.02473014003778918,0.08499557942364848,0.5537749841235794,0.0688454133715527,0.5312697079865393,0.9999481766236799,0.999958843139095,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,pubmed_abstracts,256,,,,,-0.025444905421211226,,-0.9640433683058363,-0.9463582426995801,,,,,observed test recipes; real 1M->60M control
estimated,pubmed_central,63,0.9997286948824845,0.9991359447004609,0.0009776376686375372,1.0,0.07997809495615872,0.07425906466452896,0.21235512095347642,0.7073054529660021,0.21264931605071102,0.7030766632263964,0.99994812347297,0.9999586265327254,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,pubmed_central,256,,,,,-0.058740924608860816,,-0.09458126092291093,0.18223479971102216,,,,,observed test recipes; real 1M->60M control
estimated,stackexchange,63,0.9997280003223601,0.9991359447004609,0.0009776250220854081,1.0,0.25989657534978855,0.25716756180883854,0.5314747645519007,0.8035685879290283,0.5433430373367332,0.8038770531736339,0.9999481353949043,0.9999587005054349,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,stackexchange,256,,,,,0.035821700300385145,,-0.9135151239889314,-0.8621118158003376,,,,,observed test recipes; real 1M->60M control
estimated,ubuntu_irc,63,0.9997277901517517,0.9991359447004609,0.0009776073105563247,1.0,0.23920380181771067,0.23449290131227615,0.33035615948589475,0.6958021609451296,0.32375664659049763,0.6958447700402735,0.9999481303270088,0.9999592745993013,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,ubuntu_irc,256,,,,,-0.03911665582912707,,-0.010309661439058962,0.30617255712211017,,,,,observed test recipes; real 1M->60M control
estimated,uspto_backgrounds,63,0.9997272926238188,0.9991359447004609,0.0009770844931378286,1.0,-0.04064512609511146,-0.043727371039073315,-0.04653811030810363,0.4312795044441205,-0.05000738402628772,0.4520590058091267,0.9999481965021139,0.9999593435209486,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,uspto_backgrounds,256,,,,,-0.012158626870048993,,-0.8805031225661625,-0.8269929846637223,,,,,observed test recipes; real 1M->60M control
estimated,wikipedia_en,63,0.9997268119286461,0.9991359447004609,0.0009776633924503285,1.0,-0.17844756914462367,-0.17765293722103687,0.08987345815284732,0.5103916364569918,0.06564534715350596,0.5138717046941257,0.9999481307696294,0.9999591657578539,"estimated; mechanism diagnostic, not an experiment"
real_1m_to_60m,wikipedia_en,256,,,,,-0.06345438186360101,,-0.9475512951998634,-0.907582381788485,,,,,observed test recipes; real 1M->60M control
estimated_pooled_domain_recipe,__pooled__,819,0.9997275758874324,0.9988750172839862,0.0009775118536807697,1.0,0.3591456906518157,0.36027980108472246,0.3013432633359221,0.42259900278750095,0.29133348431181316,0.4189369619476813,0.9999481425270504,0.9999591657578539,pooled descriptive diagnostic; domain-recipe pairs are not independent
real_1m_to_60m_pooled_domain_recipe,__pooled__,3328,,,,,-0.1562733454674289,,-0.1895052273423725,-0.1228261929932268,,,,,pooled descriptive diagnostic; domain-recipe pairs are not independent
