family,N_params_B,D_tokens_B,val_loss,predicted_loss,residual,bias_corrected_prediction_diagnostic,bias_corrected_residual_diagnostic
Ling-flash-base-2.0-20T,100.0,20000.0,1.8412,1.841329301307042,-0.00012930130704202902,1.8407367458572892,0.00046325414271075616
FaXin,100.0,3670.0,1.8882,1.8884436556594255,-0.00024365565942541245,1.8878511002096727,0.00034889979032737273
PLaMo-100B,100.0,2000.0,1.9112,1.9115354941265486,-0.00033549412654854116,1.9109429386767958,0.000257061323204244
Yi-Large,100.0,3000.0,1.8954,1.8956809728419477,-0.0002809728419477242,1.895088417392195,0.000311582607805061
Hunyuan,100.0,2000.0,1.9112,1.9115354941265486,-0.00033549412654854116,1.9109429386767958,0.000257061323204244
Luca 2.0,100.0,2000.0,1.9112,1.9115354941265486,-0.00033549412654854116,1.9109429386767958,0.000257061323204244
xTrimoPGLM -100B,100.0,275.0,2.0206,2.0212664241117557,-0.0006664241117557701,2.0206738686620027,-7.386866200276287e-05
YaLM,100.0,300.0,2.0144,2.015070933162236,-0.0006709331622358761,2.014478377712483,-7.837771248286884e-05
FLM-101B,101.0,311.5,2.0116,2.0121890282749435,-0.0005890282749434483,2.0115964728251905,3.527174809558886e-06
"Solar Open 100B
",102.0,19700.0,1.841,1.841161814210508,-0.00016181421050798228,1.8405692587607552,0.0004307412392448029
Odyssey 102B,102.0,179.7,2.0526,2.053336750412298,-0.0007367504122979263,2.052744194962545,-0.00014419496254491904
Yuan 2.0,102.6,289.1,2.0164,2.017045001305342,-0.0006450013053420633,2.016452445855589,-5.244585558905612e-05
InternLM,104.0,1600.0,1.9197,1.9200797778956518,-0.00037977789565180053,1.919487222445899,0.00021277755410098464
Ring-flash-linear-2.0,104.2,1000.0,1.9417,1.9421482766663054,-0.00044827666630542495,1.9415557212165526,0.00014427878344736023
GLM-4.5-Air,106.0,2603.8,1.8993,1.8995651277425336,-0.0002651277425336218,1.8989725722927808,0.00032742770721916337
GLM-4.5V,108.0,2013.3,1.909,1.9093511641907657,-0.00035116419076564043,1.9087586087410129,0.00024139125898714475
Llama 4 Scout,109.0,30000.0,1.8308,1.8308704685207366,-7.046852073666621e-05,1.8302779130709839,0.000522086929016119
Telechat2-115B,115.0,10000.0,1.8543,1.8545063431582425,-0.0002063431582424169,1.8539137877084897,0.0003862122915103683
gpt-oss-120b,116.8,7047.3,1.8636,1.8638269715342564,-0.00022697153425643712,1.8632344160845036,0.00036558391549634806
Galactica,120.0,106.0,2.0947,2.0955696454946136,-0.0008696454946135468,2.0949770900448605,-0.00027709004486053956
Mistral Large 2,123.0,28861.8,1.8286,1.8287328500833404,-0.00013285008334040782,1.8281402946335876,0.00045970536641237736
Step-Audio-Chat 130B,130.0,1668.0,1.9126,1.9129250843829904,-0.00032508438299028164,1.9123325289332376,0.00026747106676250354
Step-1,130.0,800.0,1.948,1.948426286540062,-0.00042628654006193756,1.947833731090309,0.00016626890969084762
Step-Omni,130.0,2468.0,1.8965,1.8967768580166313,-0.0002768580166312429,1.8961843025668785,0.0003156974331215423
BlueLM 130B,130.0,1000.0,1.9364,1.9368631425024414,-0.0004631425024415048,1.9362705870526886,0.0001294129473112804
GLM-130B,130.0,152.0,2.0607,2.061435516131974,-0.0007355161319737569,2.060842960682221,-0.00014296068222074965
DBRX,132.0,12000.0,1.8464,1.846590318333015,-0.00019031833301497159,1.8459977628832622,0.0004022371167378136
Pangu Ultra,135.0,13200.0,1.8436,1.8437219615816998,-0.00012196158169985871,1.843129406131947,0.00047059386805292647
MEB,135.0,500.0,1.9739,1.974414696661395,-0.00051469666139492,1.9738221412116421,7.78587883578652e-05
BIG-G 137B,137.0,681.2,1.9555,1.9560198494654848,-0.0005198494654847785,1.955427294015732,7.270598426800667e-05
LaMDA,137.0,2080.0,1.9021,1.9024136991225828,-0.0003136991225829444,1.90182114367283,0.00027885632716984077
FLAN 137B,137.0,2490.0,1.8949,1.895235427381754,-0.00033542738175396103,1.8946428719320012,0.00025712806799882415
Mixtral 8x22B,141.0,2766.0,1.8903,1.8905584814624867,-0.00025848146248663717,1.889965926012734,0.000334073987266148
dots.llm1,142.0,11328.0,1.8462,1.846395117367898,-0.00019511736789801226,1.8458025619181453,0.0003974380818547729
GPT-3 175B (davinci),174.6,238.0,2.0185,2.0191258554780975,-0.00062585547809757,2.0185333000283445,-3.3300028344562804e-05
MegaScale (175B),175.0,300.0,2.0016,2.002254616562045,-0.0006546165620453515,2.001662061112292,-6.206111229234423e-05
BlueLM 175B,175.0,1000.0,1.9299,1.930359458094956,-0.0004594580949559557,1.9297669026452031,0.0001330973547968295
OPT-IML (175B),175.0,2.0,2.77,2.7725068167820837,-0.002506816782083643,2.7719142613323307,-0.0019142613323306357
BlenderBot 3,175.0,1.3,2.9007,2.9034065936671487,-0.002706593667148649,2.9028140382173957,-0.002114038217395642
OPT-175B,175.0,180.0,2.0402,2.0408813926393345,-0.0006813926393345326,2.0402888371895815,-8.883718958152542e-05
BLUUMI,176.0,38.0,2.1978,2.1989152267620984,-0.001115226762098409,2.1983226713123454,-0.0005226713123454019
BLOOMZ-176B,176.0,20.0,2.2857,2.2870957133264955,-0.0013957133264956845,2.2865031578767425,-0.0008031578767426772
