N_params_B,D_tokens_B,0.05,0.1,equal_loss
0.07,5,1.0401,1.1624,False
0.07,20,0.9701,1.096,False
0.07,100,0.891,1.0093,False
0.07,500,0.861,0.9621,False
0.07,1000,0.8471,0.9414,False
0.07,2000,0.8539,0.9243,False
0.16,5,0.8104,0.9548,False
0.16,20,0.7755,0.8548,False
0.16,100,0.7109,0.8001,False
0.16,500,0.6974,0.7769,False
0.16,1000,0.6787,0.7577,False
0.16,2000,0.6532,0.7317,False
0.41,5,0.622,0.7497,False
0.41,20,0.581,0.695,False
0.41,100,0.535,0.6432,False
0.41,500,0.5057,0.6047,False
0.41,1000,0.5,0.5885,False
0.41,2000,0.5,0.5802,False
0.7,5,0.5148,0.651,False
0.7,10,0.5,0.615,False
0.7,20,0.5,0.5886,False
0.7,50,0.5,0.5587,False
0.7,100,0.5,0.5313,False
0.7,150,0.5,0.5295,False
0.7,300,0.5,0.5247,False
0.7,500,0.5,0.5138,False
0.7,1000,0.5,0.5071,False
0.7,2000,0.5,0.5001,False
1.0,5,0.5,0.5747,False
1.0,10,0.5,0.5575,False
1.0,20,0.5,0.5188,False
1.0,50,0.5,0.5001,False
1.0,100,0.5,0.5,True
1.0,150,0.5,0.5,True
1.0,300,0.5,0.5,True
1.0,500,0.5,0.5,True
1.0,1000,0.5,0.5,True
1.0,2000,0.5,0.5,True
2.8,5,0.5,0.5,True
2.8,10,0.5,0.5,True
2.8,20,0.5,0.5,True
2.8,50,0.5,0.5,True
2.8,100,0.5,0.5,True
2.8,150,0.5,0.5,True
2.8,300,0.5,0.5,True
2.8,500,0.5,0.5,True
2.8,1000,0.5,0.5,True
2.8,2000,0.5,0.5,True
4.0,5,0.5,0.5,True
4.0,10,0.5,0.5,True
4.0,20,0.5,0.5,True
4.0,50,0.5,0.5,True
4.0,100,0.5,0.5,True
4.0,150,0.5,0.5,True
4.0,300,0.5,0.5,True
4.0,500,0.5,0.5,True
4.0,1000,0.5,0.5,True
4.0,2000,0.5,0.5,True
6.9,5,0.5,0.5,True
6.9,10,0.5,0.5,True
6.9,20,0.5,0.5,True
6.9,50,0.5,0.5,True
6.9,100,0.5,0.5,True
6.9,150,0.5,0.5,True
6.9,300,0.5,0.5,True
6.9,500,0.5,0.5,True
6.9,1000,0.5,0.5,True
6.9,2000,0.5,0.5,True
12.0,5,0.5,0.5,True
12.0,10,0.5,0.5,True
12.0,20,0.5,0.5,True
12.0,50,0.5,0.5,True
12.0,100,0.5,0.5,True
12.0,150,0.5,0.5,True
12.0,300,0.5,0.5,True
12.0,500,0.5,0.5,True
12.0,1000,0.5,0.5,True
12.0,2000,0.5,0.5,True
20.0,5,0.5,0.5,True
20.0,10,0.5,0.5,True
20.0,20,0.5,0.5,True
20.0,50,0.5,0.5,True
20.0,100,0.5,0.5,True
20.0,150,0.5,0.5,True
20.0,300,0.5,0.5,True
20.0,500,0.5,0.5,True
20.0,1000,0.5,0.5,True
20.0,2000,0.5,0.5,True
40.0,5,0.5,0.5,True
40.0,10,0.5,0.5,True
40.0,20,0.5,0.5,True
40.0,50,0.5,0.5,True
40.0,100,0.5,0.5,True
40.0,150,0.5,0.5,True
40.0,300,0.5,0.5,True
40.0,500,0.5,0.5,True
40.0,1000,0.5,0.5,True
40.0,2000,0.5,0.5,True
70.0,5,0.5,0.5,True
70.0,10,0.5,0.5,True
70.0,20,0.5,0.5,True
70.0,50,0.5,0.5,True
70.0,100,0.5,0.5,True
70.0,150,0.5,0.5,True
70.0,300,0.5,0.5,True
70.0,500,0.5,0.5,True
70.0,1000,0.5,0.5,True
70.0,2000,0.5,0.5,True
120.0,5,0.5,0.5,True
120.0,10,0.5,0.5,True
120.0,20,0.5,0.5,True
120.0,50,0.5,0.5,True
120.0,100,0.5,0.5,True
120.0,150,0.5,0.5,True
120.0,300,0.5,0.5,True
120.0,500,0.5,0.5,True
120.0,1000,0.5,0.5,True
120.0,2000,0.5,0.5,True
300.0,5,0.5,0.5,True
300.0,10,0.5,0.5,True
300.0,20,0.5,0.5,True
300.0,50,0.5,0.5,True
300.0,100,0.5,0.5,True
300.0,150,0.5,0.5,True
300.0,300,0.5,0.5,True
300.0,500,0.5,0.5,True
300.0,1000,0.5,0.5,True
300.0,2000,0.5,0.5,True
700.0,5,0.5,0.5,True
700.0,10,0.5,0.5,True
700.0,20,0.5,0.5,True
700.0,50,0.5,0.5,True
700.0,100,0.5,0.5,True
700.0,150,0.5,0.5,True
700.0,300,0.5,0.5,True
700.0,500,0.5,0.5,True
700.0,1000,0.5,0.5,True
700.0,2000,0.5,0.5,True
