N_params_B,D_tokens_B,Q_score,predicted_loss
0.07,10,0.2,2.2377304775477933
0.07,10,0.5,2.6713526201616835
0.07,10,0.8,3.1049747627755737
0.07,10,1.0,3.3940561911848346
0.07,100,0.2,2.172141324587501
0.07,100,0.5,2.519634711050858
0.07,100,0.8,2.8671280975142155
0.07,100,1.0,3.098790355156454
0.07,1000,0.2,2.137709810873934
0.07,1000,0.5,2.4399892661507594
0.07,1000,0.8,2.7422687214275854
0.07,1000,1.0,2.9437883582788027
0.07,10000,0.2,2.1196347316405544
0.07,10000,0.5,2.3981787974294897
0.07,10000,0.8,2.6767228632184255
0.07,10000,1.0,2.8624189070777164
1.0,10,0.2,1.2692087044749443
1.0,10,0.5,1.804318213916023
1.0,10,0.8,2.3394277233571015
1.0,10,1.0,2.696167396317821
1.0,100,0.2,1.203619551514652
1.0,100,0.5,1.6526003048051978
1.0,100,0.8,2.1015810580957437
1.0,100,1.0,2.400901560289441
1.0,1000,0.2,1.1691880378010848
1.0,1000,0.5,1.572954859905099
1.0,1000,0.8,1.9767216820091131
1.0,1000,1.0,2.2458995634117893
1.0,10000,0.2,1.151112958567705
1.0,10000,0.5,1.531144391183829
1.0,10000,0.8,1.911175823799953
1.0,10000,1.0,2.1645301122107026
10.0,10,0.2,0.9114260085126227
10.0,10,0.5,1.4840260780206638
10.0,10,0.8,2.056626147528705
10.0,10,1.0,2.4383595272007326
10.0,100,0.2,0.8458368555523302
10.0,100,0.5,1.3323081689098386
10.0,100,0.8,1.8187794822673469
10.0,100,1.0,2.1430936911723526
10.0,1000,0.2,0.8114053418387631
10.0,1000,0.5,1.2526627240097399
10.0,1000,0.8,1.6939201061807165
10.0,1000,1.0,1.988091694294701
10.0,10000,0.2,0.7933302626053831
10.0,10000,0.5,1.2108522552884697
10.0,10000,0.8,1.6283742479715564
10.0,10000,1.0,1.906722243093614
100.0,10,0.2,0.7478716212496849
100.0,10,0.5,1.337609874490743
100.0,10,0.8,1.9273481277318012
100.0,10,1.0,2.32050696322584
100.0,100,0.2,0.6822824682893923
100.0,100,0.5,1.1858919653799176
100.0,100,0.8,1.6895014624704427
100.0,100,1.0,2.0252411271974595
100.0,1000,0.2,0.6478509545758254
100.0,1000,0.5,1.106246520479819
100.0,1000,0.8,1.5646420863838126
100.0,1000,1.0,1.8702391303198085
100.0,10000,0.2,0.6297758753424454
100.0,10000,0.5,1.064436051758549
100.0,10000,0.8,1.4990962281746525
100.0,10000,1.0,1.7888696791187215
700.0,10,0.2,0.6812215657879042
700.0,10,0.5,1.2779438010268491
700.0,10,0.8,1.874666036265794
700.0,10,1.0,2.2724808597584243
700.0,100,0.2,0.6156324128276118
700.0,100,0.5,1.126225891916024
700.0,100,0.8,1.6368193710044359
700.0,100,1.0,1.9772150237300439
700.0,1000,0.2,0.5812008991140447
700.0,1000,0.5,1.0465804470159252
700.0,1000,0.8,1.5119599949178055
700.0,1000,1.0,1.8222130268523924
700.0,10000,0.2,0.5631258198806647
700.0,10000,0.5,1.004769978294655
700.0,10000,0.8,1.4464141367086454
700.0,10000,1.0,1.7408435756513054
