budget_1e21,budget_flops,context_tokens,cost_function,quality_cost_scale,optimizer_success,constraint_violation_1e21,N_params_B,D_tokens_B,Q_target,loss,classic_loss,quality_loss,long_context_gain,mix_linear_loss,mix_kl_penalty,Q_bar,Q_effective,composition_KL,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,N_to_D_ratio,p_top_domain,p_top_share,p_min,mix_effect_scale,mix_kl_weight,message,coefficient_source,boundary_scheme
0.01,1e+19,2048,exponential,3.0,True,0.0,2.071185658227289,0.7532689086379464,0.4596150318931771,1.8515601788423224,1.2922757993773075,0.5402517475957372,0.023608160417241994,-0.018239775132086848,0.06088056741860643,0.6421115190530613,0.6131995035421771,2.029352247286881,0.009360958562156619,0.0,0.0006390414378432252,0.009999999999999844,0.9360958562156765,0.0,0.06390414378432352,2.7495966373713565,arxiv,0.9766844955929624,0.0010055385746506706,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
0.01,1e+19,4096,exponential,3.0,True,0.0,2.0043486339924343,0.7316330364273345,0.4596150318931771,1.847175015525672,1.3022093646094333,0.5401890788858085,0.03792723352971346,-0.018238285396978478,0.0609420909571223,0.6421800702019071,0.6132407935473279,2.031403031904077,0.00879868606288119,0.0,0.0012013139371187117,0.009999999999999901,0.8798686062881277,0.0,0.12013139371187236,2.7395545774968646,arxiv,0.9770380236807046,0.0010071615484879214,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
0.01,1e+19,8192,exponential,3.0,True,0.0,1.8874554861843915,0.6936188460359635,0.4596150318931771,1.851605406910215,1.3205999907266457,0.5400930785828004,0.051879883005803235,-0.01824305601948779,0.061035276626059926,0.6422851112551957,0.6133040451994414,2.034509220868664,0.007855048177628797,0.0,0.0021449518223711703,0.009999999999999967,0.7855048177628823,0.0,0.21449518223711772,2.721170996104291,arxiv,0.9775737545600272,0.0010001254839150393,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
0.01,1e+19,32768,exponential,3.0,True,0.0,1.4507738317661658,0.549075417069041,0.4596150318931778,1.9271562142980563,1.4042472869998097,0.5401933860383231,0.05997987224232584,-0.01824210659740226,0.060937520099651435,0.6421753582670238,0.6132379557177965,2.031250669988381,0.004779505480499149,3.039187963555377e-16,0.00522049451949987,0.009999999999999322,0.4779505480499473,3.039187963555583e-14,0.5220494519500224,2.642212320322738,arxiv,0.977011879995121,0.0010035482626991137,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
0.01,1e+19,131072,exponential,3.0,True,0.0,0.8806965231794502,0.3524712277067078,0.4596150318931771,2.1006426214945684,1.5777483082789832,0.540197661027849,0.05999999999999924,-0.018237440531468137,0.06093409271920317,0.6421706815891164,0.6132351390810984,2.031136423973439,0.0018625211085725392,0.0,0.00813747889142733,0.009999999999999868,0.18625211085725638,0.0,0.8137478891427437,2.498633800294985,arxiv,0.9769920809942149,0.0010092473638090866,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
10.0,1e+22,2048,exponential,3.0,True,1.865174681370263e-13,303.4845832556426,2.1017208338067945,0.989693695625652,0.6525969973800505,0.6778658098462316,0.010174613739984302,0.023608160417241994,-0.02091968840875673,0.009084422619833334,0.47369302824767523,0.9899999955007993,0.3028140873277778,3.82703922820534,5.911701560482696,0.26125921131215124,10.000000000000187,0.38270392282052684,0.5911701560482585,0.026125921131214636,144.39814192922498,stackexchange,0.1777849761574441,0.001200313216881004,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
10.0,1e+22,4096,exponential,3.0,True,2.842170943040401e-14,289.7691738881769,2.088165030337129,0.9896998585710345,0.6413823588986448,0.6809750246599818,0.010174608890352965,0.03792723352971346,-0.020948530008286274,0.009108488886309862,0.4734099777901197,0.9899999998870387,0.30361629621032876,3.630515134697818,5.873798532244802,0.49568633305740883,10.000000000000028,0.36305151346978076,0.5873798532244785,0.04956863330574074,138.7673721561147,stackexchange,0.17774008746862233,0.0011528677759611989,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
10.0,1e+22,8192,exponential,3.0,True,5.4214410738495644e-12,266.14995019171056,2.063723501096275,0.9896857185123765,0.633261675800829,0.6867457262634907,0.010174609241551972,0.051879883005803235,-0.02117515242063306,0.00939637572222266,0.47405986107578857,0.9899999995693974,0.31321252407408867,3.2955594421574173,5.804533126176218,0.8999074316717856,10.000000000005421,0.32955594421556306,0.5804533126173071,0.08999074316712977,128.96589589173573,stackexchange,0.17923777786470765,0.00224502179710691,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
10.0,1e+22,32768,exponential,3.0,True,1.1439738045737613e-11,183.9087130003932,1.9525201633596792,0.9896981570081737,0.6517937051307102,0.7134387152370999,0.010174608967862033,0.05997987224232584,-0.02099183708651408,0.009152090254588184,0.4734881808567999,0.9899999998169358,0.3050696751529395,2.1545128221047767,5.492184639415685,2.353302538490978,10.00000000001144,0.2154512822102312,0.5492184639409402,0.23533025384882858,94.19042960557374,stackexchange,0.1779001805615362,0.0011354747817710546,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
10.0,1e+22,131072,exponential,3.0,True,0.0,92.05160450765746,1.7310286131829877,0.9896217698328774,0.7091688553006096,0.7707643396727952,0.010174608791998123,0.05999999999999924,-0.021110528353261694,0.009340435189077108,0.4769990577806662,0.9899999999759955,0.31134783963590357,0.956063767752955,4.866829893349864,4.177106338897177,9.999999999999996,0.09560637677529553,0.4866829893349866,0.41771063388971785,53.17740204097172,stackexchange,0.17476349966492763,0.001122458416749822,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy
