coefficient_source,boundary_scheme,cost_function,budget_from_1e21,budget_to_1e21,delta_N_B,delta_D_B,delta_Q,delta_train_share,delta_quality_share,delta_attention_share,loss_drop,share_total_variation,N_upper_active_after,Q_upper_active_both
b1,expanded,exponential,0.01,10.0,25.871360782242604,56.55082260659536,-6.661338147750939e-16,0.45493689698436607,-0.4859939224851657,0.031057025500799397,1.1791025063700626,0.4859939224851656,False,True
b1,expanded,exponential,10.0,1000.0,1018.8936955376723,90.8140863483016,-1.1102230246251565e-15,0.01448579800526395,-0.015474695149089848,0.0009888971438260091,0.45576887932060206,0.015474695149089904,True,True
b1,expanded,exponential,1000.0,10000.0,3954.813838634099,162.79505327176582,-6.661338147750939e-16,0.00030041125836488547,-0.00032091933360257766,2.0508075237721246e-05,0.18735760187293615,0.0003209193336025922,True,True
b1,expanded,exponential,10000.0,100000.0,-2.637534635141492e-11,2808.049292086235,1.3322676295501878e-15,0.0,1.1926223897340549e-18,0.0,0.120889987319734,5.963111948670274e-19,True,True
b1,expanded,exponential,100000.0,1000000.0,0.0,879.9452310152965,1.1102230246251565e-15,-0.15056754012994578,-1.3648584989766808e-05,0.1505811887149356,0.009018866504766798,0.15058118871493556,True,True
b1,expanded,logarithmic,0.01,10.0,25.4762368299745,56.43829435816371,-2.220446049250313e-16,0.34065061504556504,-0.3639056970326756,0.023255081987110578,1.0598228347673375,0.3639056970326756,False,True
b1,expanded,logarithmic,10.0,1000.0,1018.8718766053805,89.05412925289653,-1.2212453270876722e-15,0.005297702854598518,-0.005659359369472467,0.00036165651487392314,0.45461763680122447,0.005659359369472454,True,True
b1,expanded,logarithmic,1000.0,10000.0,3955.3958219612414,162.68989424837343,1.887379141862766e-15,0.00010645869960523857,-0.00011372628016509311,7.267580559730535e-06,0.18734162680630795,0.00011372628016503111,True,True
b1,expanded,logarithmic,10000.0,100000.0,0.0,2808.2032105720527,0.0,1.1102230246251565e-16,3.3881317890172014e-21,0.0,0.12088815681375964,5.551284529715234e-17,True,True
b1,expanded,logarithmic,100000.0,1000000.0,-5.275069270282984e-11,879.774210475482,-2.220446049250313e-16,-0.4581245193660491,-1.4701489657764724e-05,0.4581392208557068,0.009016807723818854,0.4581392208557068,True,True
b1,expanded,power,0.01,10.0,26.08370039262171,56.010556764791886,-2.220446049250313e-16,0.48215893369006574,-0.5150743168966411,0.032915383206575166,1.2232791841409245,0.515074316896641,False,True
b1,expanded,power,10.0,1000.0,1018.9082440826138,91.65700123500048,-3.3306690738754696e-16,0.018970448752340885,-0.020265498053833885,0.0012950493014931286,0.4563443498701403,0.02026549805383395,True,True
b1,expanded,power,1000.0,10000.0,3954.519062348367,162.84836161053832,5.551115123125783e-16,0.00039956152281961366,-0.0004268382561106253,2.7276733291156652e-05,0.1873702954395775,0.0004268382561106978,True,True
b1,expanded,power,10000.0,100000.0,0.0,2807.970493770996,0.0,0.0,-1.3552527156068805e-20,-1.3877787807814457e-17,0.12089092403264079,6.945670167485263e-18,True,True
b1,expanded,power,100000.0,1000000.0,-5.275069270282984e-11,880.0327846988848,-1.2212453270876722e-15,-0.15055976954522166,-1.8161759063762805e-05,0.15057793130428548,0.009019920540609627,0.15057793130428546,True,True
b1,legacy,exponential,0.01,10.0,25.871360782242604,56.55082260659536,-6.661338147750939e-16,0.45493689698436607,-0.4859939224851657,0.031057025500799397,1.1791025063700626,0.4859939224851656,False,True
b1,legacy,exponential,10.0,1000.0,973.7075341717673,97.55347327992493,6.661338147750939e-16,0.01446864191817665,-0.015456367873124027,0.0009877259549475187,0.4557398684640317,0.015456367873124098,True,True
b1,legacy,exponential,1000.0,10000.0,0.0,1403.5482950249313,-1.1102230246251565e-16,-1.1102230246251565e-16,-5.421010862427522e-20,0.0,0.1464100731450002,5.553825628556996e-17,True,True
b1,legacy,exponential,10000.0,100000.0,-7.16227077646181e-12,3440.501894416738,-7.771561172376096e-16,1.1102230246251565e-16,5.963111948670274e-19,0.0,0.04532175238776759,5.580930682869134e-17,True,True
b1,legacy,exponential,100000.0,1000000.0,6.252776074688882e-12,0.0,8.881784197001252e-16,-0.4578518290724731,-0.00020751582965435018,0.4580593449021275,1.0017764395797712e-11,0.4580593449021275,True,True
b1,legacy,logarithmic,0.01,10.0,25.4762368299745,56.43829435816371,-2.220446049250313e-16,0.34065061504556504,-0.3639056970326756,0.023255081987110578,1.0598228347673375,0.3639056970326756,False,True
b1,legacy,logarithmic,10.0,1000.0,974.2676985666174,95.7139906014138,6.661338147750939e-16,0.005291701012415384,-0.005652947801529791,0.0003612467891142279,0.4545923076964038,0.005652947801529701,True,True
b1,legacy,logarithmic,1000.0,10000.0,9.094947017729282e-13,1403.932914473347,-4.440892098500626e-16,1.1102230246251565e-16,-2.981555974335137e-19,1.3877787807814457e-17,0.1463989913221051,6.259912293388181e-17,True,True
b1,legacy,logarithmic,10000.0,100000.0,0.0,3440.0745394740543,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0453092880924324,5.551115123125783e-17,True,True
b1,legacy,logarithmic,100000.0,1000000.0,-9.094947017729282e-13,0.0,2.220446049250313e-16,-0.4580413788103815,-7.349410813819242e-05,0.45811487291851943,1.5574652678651546e-11,0.45811487291851954,True,True
b1,legacy,power,0.01,10.0,26.08370039262171,56.010556764791886,-2.220446049250313e-16,0.48215893369006574,-0.5150743168966411,0.032915383206575166,1.2232791841409245,0.515074316896641,False,True
b1,legacy,power,10.0,1000.0,973.4273064309765,98.43658075665715,-1.3322676295501878e-15,0.01894748233220478,-0.02024096379274983,0.0012934814605451705,0.45631796974250105,0.020240963792749887,True,True
b1,legacy,power,1000.0,10000.0,-1.8189894035458565e-12,1403.351454971072,6.661338147750939e-16,0.0,2.710505431213761e-18,0.0,0.14641574622419773,1.3552527156068805e-18,True,True
b1,legacy,power,10000.0,100000.0,1.8189894035458565e-12,3440.720605587702,8.881784197001252e-16,-0.1504347915030374,-9.073341591642648e-05,0.15052552491895393,0.04532813290280968,0.15052552491895388,True,True
b1,legacy,power,100000.0,1000000.0,-9.094947017729282e-13,-8.185452315956354e-12,0.0,-0.3073200369819324,-0.00018535736618061934,0.307505394348113,1.5776269179923474e-12,0.307505394348113,True,True
b6_b8_lambda10,expanded,exponential,0.01,10.0,78.45773601614177,18.631371561662956,0.0,0.12642312542225786,-0.13505361078441736,0.00863048536215947,0.7694630825578138,0.13505361078441736,False,True
b6_b8_lambda10,expanded,exponential,10.0,1000.0,840.1407453272037,150.136729733615,0.0,0.004443246559306502,-0.004746572191088366,0.000303325631781981,0.2391132275750747,0.004746572191088424,False,True
b6_b8_lambda10,expanded,exponential,1000.0,10000.0,2193.8115976390673,331.5000524911618,-5.551115123125783e-16,0.0003034548443483498,-0.00032417069505606645,2.071585070750892e-05,0.07714804371883249,0.0003241706950559626,True,True
b6_b8_lambda10,expanded,exponential,10000.0,100000.0,1884.9892946571595,2619.2708429469785,5.551115123125783e-16,4.8056292753506646e-05,-5.133693567198592e-05,3.2806429186571506e-06,0.05505227565841869,5.133693567207486e-05,True,True
b6_b8_lambda10,expanded,exponential,100000.0,1000000.0,0.0,879.9452310153129,-1.4432899320127035e-15,-0.1505675401299459,-1.3648584989767932e-05,0.15058118871493553,0.004309337075840969,0.1505811887149356,True,True
b6_b8_lambda10,expanded,logarithmic,0.01,10.0,78.37186741552321,18.66651445875758,8.881784197001252e-16,0.05603075560313986,-0.059855788518980976,0.003825032915841013,0.7524490754424812,0.05985578851898092,False,True
b6_b8_lambda10,expanded,logarithmic,10.0,1000.0,840.1406950352718,150.10076493418956,2.220446049250313e-16,0.0015873199100646662,-0.001695680949258328,0.00010836103919374673,0.23889753735642866,0.0016956809492583704,False,True
b6_b8_lambda10,expanded,logarithmic,1000.0,10000.0,2193.86166442772,331.47640395168264,-7.771561172376096e-16,0.00010753060483548182,-0.00011487136079220105,7.340755956763978e-06,0.07713923623799646,0.00011487136079222343,True,True
b6_b8_lambda10,expanded,logarithmic,10000.0,100000.0,1885.342197177294,2619.3410610734195,-9.992007221626409e-16,1.702018640192815e-05,-1.818209779367192e-05,1.161911391711623e-06,0.05505036643611094,1.8182097793655846e-05,True,True
b6_b8_lambda10,expanded,logarithmic,100000.0,1000000.0,0.0,879.7742104754907,3.3306690738754696e-16,-0.15058271906597542,-4.832289461498303e-06,0.15058755135543697,0.004308354993638686,0.15058755135543694,True,True
