draw,intercept,slope
0,-17.510361570356668,1.160919647296348
1,-17.321376093626842,1.153279936296274
2,-17.07109722746008,1.145651474791317
3,-17.01231583690593,1.1442843309423834
4,-16.99204915885939,1.140061401186121
5,-17.364918736791704,1.1500701453200217
6,-17.257539805474607,1.1507786581389945
7,-17.189434852627443,1.1479996603398854
8,-17.514210598108257,1.155687518772382
9,-17.101748612013534,1.1468781801610577
10,-16.98568383207264,1.1414616239396638
11,-17.25573535375067,1.1484117309267463
12,-17.045762639287627,1.144409997538418
13,-17.08637505481847,1.1461874025668315
14,-16.997759169690386,1.1427601526570899
15,-17.063630370348264,1.1439442046408945
16,-17.151297538996214,1.1463317220916343
17,-17.19302277725642,1.1454775933630923
18,-17.224476884287395,1.1456420043993905
19,-17.019133552042206,1.1407975376030035
20,-17.228429758791094,1.1490693182987337
21,-17.104276538781058,1.1466341778706428
22,-16.974776816765306,1.1406339221503692
23,-17.33477181648822,1.1499518698095446
24,-17.36654823648681,1.1520564605170573
25,-17.313500115247436,1.1522787624182114
26,-16.98235351939079,1.1408601528741227
27,-16.959138137831744,1.1384621789633038
28,-17.07127016757364,1.1425382850757313
29,-17.118529660937693,1.145559977717721
30,-17.531674651026577,1.1559430277080633
31,-17.288988791531313,1.151252496365746
32,-17.365157760901614,1.1512164486093508
33,-17.101540386812985,1.1442192185769373
34,-17.469309726322784,1.1540588183907359
35,-17.576215694603093,1.1578089909132807
36,-17.01270469335623,1.1414458788314998
37,-17.141923059208565,1.1448397353186142
38,-17.184455829833123,1.1467180447280434
39,-17.149071302180932,1.1463633106261737
40,-17.106970429358174,1.1449409435555882
41,-16.80745305667875,1.134478231422622
42,-17.296393017909303,1.1530316922899049
43,-16.96882963980987,1.1402007249013513
44,-17.12544195583025,1.1461980412344381
45,-17.225177183607,1.1493731360254686
46,-17.19250471380646,1.148077462182266
47,-17.236686655078532,1.1497854577727231
48,-17.074203228682578,1.1426917840549864
49,-17.168618377219367,1.1474314553997227
50,-17.29988009252758,1.1484121996735412
51,-17.159330387330883,1.1467318514622566
52,-16.915476749216825,1.140513605951971
53,-17.075701144872347,1.1432660747584498
54,-17.15167866328802,1.144670519663742
55,-17.061129105205854,1.1453621751000145
56,-16.98944954530248,1.1398523085557728
57,-16.846974421403733,1.1354039904523896
58,-17.126537511040425,1.1457596373307233
59,-17.438005285574576,1.1561869233581594
60,-17.109120838060146,1.1447248424785703
61,-17.36844160899305,1.1523607308924673
62,-16.963422164438217,1.1392456395545585
63,-16.947637277648425,1.1374472897276118
64,-16.931036530130147,1.139855770269695
65,-17.293121438116724,1.1487940374195917
66,-16.98326025922194,1.142857446124311
67,-17.194614028847248,1.1456104186985254
68,-16.941577252627713,1.1397368892378936
69,-17.124499543902672,1.1459304643332973
70,-17.021974734789644,1.1393685940579057
71,-17.184913743098267,1.1450774691647851
72,-16.941157218456997,1.1397565139090375
73,-17.222294047522492,1.1499472873366685
74,-17.22174444160632,1.1489983047741692
75,-17.192648580621803,1.1468189321140136
76,-16.96832419155902,1.1403966792680382
77,-17.14796121576818,1.1458333651166315
78,-17.111814753784248,1.143206697435908
79,-16.878435206480212,1.136579056778717
80,-17.222954233217063,1.148875818406417
81,-17.253643220416766,1.1501898881617652
82,-16.97697362614599,1.1414452172544312
83,-17.196113898289497,1.14715946698063
84,-17.081727172261864,1.1466263388780809
85,-17.32229193453286,1.1505592414492478
86,-17.34592908031805,1.1514702223575135
87,-16.927782527686993,1.1397579406137925
88,-16.90935218972132,1.1389182852211912
89,-17.07478297889197,1.1429501675802216
90,-17.147409534854912,1.1460060723269327
91,-17.151204493825272,1.1486768988977067
92,-17.275406152877775,1.1477758207799287
93,-17.50666493026088,1.156978305392162
94,-17.011873761467637,1.1424113277526144
95,-17.293507736811325,1.1492415963559421
96,-17.16497765977458,1.1485795644257735
97,-17.094324383454417,1.1431745899508885
98,-17.2687830228225,1.1492823524775078
99,-17.51889660467508,1.1568493442984757
100,-16.949210792756013,1.1396705426793377
101,-17.19935371621573,1.1468862300494542
102,-17.174690587477322,1.1466170975101821
103,-17.176999485419504,1.1456839111491168
104,-17.2797303367542,1.1493878657919614
105,-17.010422208466395,1.1408858499964185
106,-17.06729312976174,1.1449618887590034
107,-17.254992232985423,1.1496294513048284
108,-17.108073184955426,1.143633571174879
109,-17.037085003374735,1.142585224052338
110,-17.298147773980734,1.1508552660175877
111,-17.048088222141608,1.1413125157705066
112,-17.19939407311929,1.1495644592504426
113,-17.222808797005598,1.150461417602286
114,-17.15624198572901,1.1457429332065971
115,-17.273671745383226,1.1502440119064432
116,-17.36396667948204,1.1521851232164395
117,-17.518911476529603,1.1553450228771314
118,-17.080960334654034,1.1416493864448582
119,-17.16673756924854,1.145939425847618
120,-16.95682995989688,1.1401274916682331
121,-17.119840157742452,1.1473181456439205
122,-16.949895975619157,1.1416255756025897
123,-17.195815290525143,1.1490058512028638
124,-17.287959986798562,1.147736222232926
125,-17.297908457731616,1.1513455366879468
126,-17.038374687056724,1.1424846176121215
127,-17.2350410777292,1.148669869081988
128,-17.08465242851383,1.1447398442429122
129,-17.41601020336618,1.1541777352763047
130,-17.276227498995194,1.1503890080847432
131,-17.03175941249877,1.142579015766565
132,-17.136741231350257,1.1461100789260243
133,-17.11463104057062,1.1446354308572406
134,-17.101424575764483,1.1450600402950901
135,-16.78060809468448,1.1336484404757667
136,-17.151219237093756,1.1458013656428652
137,-17.356399062724392,1.1485145054473012
138,-17.036789462288727,1.1412742160823999
139,-17.04448230872875,1.1417154493990147
140,-17.080699507240336,1.1425986311212812
141,-17.17159184100889,1.1451899172626587
142,-17.045902599360574,1.1426016300247932
143,-17.285838256299638,1.1503843783721683
144,-16.877572526536245,1.1375129908803907
145,-17.022966932959307,1.1431735196715154
146,-17.014688962074626,1.1419385613676682
147,-17.1151847764748,1.1480325828863442
148,-17.168886323631206,1.1488612916698768
149,-17.147261438266483,1.1443808583667
150,-17.343060970786897,1.150888482279529
151,-17.28681074597,1.1502313243416264
152,-17.23976953782776,1.1505724946928337
153,-17.351909426023603,1.1525516906575672
154,-17.172185208690337,1.1493772448037256
155,-16.828688333975958,1.1379228144546691
156,-16.94715825477563,1.13958234523922
157,-16.970765783157677,1.1411378794161962
158,-16.898704912752002,1.137735928107118
159,-17.07847261544855,1.1448985738531723
160,-17.043913439182205,1.1429477383216193
161,-17.17787621484622,1.14827606209985
162,-16.962569270962465,1.139063455492742
163,-17.139314090446618,1.146371907936034
164,-17.20384901978055,1.1462777609666772
165,-17.327846004615544,1.1529022627462822
166,-17.300235092999078,1.1500900385573543
167,-16.959920709659844,1.141312314896733
168,-17.00061992449977,1.1404337403120908
169,-17.15001321119572,1.144946629966302
170,-16.984458579249274,1.1390524815720178
171,-17.21238691594914,1.147227031241677
172,-17.24464423872185,1.1487074815307214
173,-17.11068308569438,1.1439034441692926
174,-16.907461001411598,1.137990451945128
175,-17.002850123538472,1.1404673337183318
176,-17.29673973963884,1.150384244142643
177,-17.29321473076245,1.1508845024456693
178,-17.261685700454393,1.14699056505902
179,-17.343956209913706,1.1517429609188088
180,-17.475659718560134,1.156194186157751
181,-17.102590643528575,1.1441797507645883
182,-17.10522861500627,1.1469116793853398
183,-17.113262548629525,1.1451200223653184
184,-17.037619956763546,1.1421098092704862
185,-16.96892410427959,1.141311727989803
186,-17.149428222228234,1.1448316628793984
187,-16.91283216608293,1.1382407228605858
188,-16.884205084081874,1.1388403140526333
189,-17.389927412314726,1.1541852329128206
190,-17.077124981158335,1.141172057201125
191,-17.250575478469635,1.1521167923276807
192,-17.059166037908593,1.1415138196204937
193,-17.167939620839206,1.1463828705389159
194,-17.10587143528018,1.1435695847176643
195,-16.94666289158164,1.1386666177458509
196,-16.944814870521768,1.1396697662347781
197,-17.124663459262074,1.1462803307437852
198,-17.028679039704603,1.1431266156494633
199,-17.010753537141994,1.1409008679284114
200,-17.18362988380946,1.145262906276707
201,-17.216531243548044,1.145924337689883
202,-17.22554973342849,1.1495591076719405
203,-17.440426519844955,1.156319318077432
204,-17.23989032010194,1.1494264738967421
205,-17.27153217149075,1.1483779174797164
206,-17.01282811530172,1.1417470249765318
207,-16.93095538441908,1.1383535831901412
208,-17.269281722820836,1.1486720746655446
209,-16.946981897628937,1.1420846907389188
210,-17.036228757710372,1.1445560586591066
211,-17.38951526721177,1.1543269011337134
212,-17.02024189896513,1.1407647399459324
213,-17.561430314105994,1.1572410345666957
214,-17.18374546853696,1.1448409458504958
215,-17.067044634670314,1.144340359270223
216,-17.318896515007808,1.1493739056056798
217,-16.96792348468678,1.140968328382809
218,-17.03385313160986,1.1443271443349896
219,-17.165816131211866,1.146537191265039
220,-17.24293575040999,1.1491497959219124
221,-17.07957049878137,1.147141278311856
222,-17.14824551073568,1.1450669786366159
223,-17.19718463891148,1.1449585246947902
224,-17.320182811417038,1.1518606490940386
225,-17.299043295695682,1.1506436140985525
226,-17.16407788391259,1.1462823375798983
227,-17.1423131260791,1.145778420489682
228,-17.152727023888488,1.1448831285488223
